STATION,STATION_NAME,DATE,HPCP
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871001 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 12:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 13:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 14:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 15:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 16:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 17:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 19:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 20:00,0.19
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 21:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871022 22:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871027 16:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871027 17:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871029 01:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871029 07:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871029 08:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 04:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 05:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 06:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 07:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 08:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 09:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 10:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 11:00,0.13
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 12:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 13:00,0.23
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 14:00,0.17
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 15:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 16:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 17:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 18:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871031 19:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871101 01:00,0.13
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871101 04:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871104 00:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871104 19:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871104 20:00,0.13
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871104 21:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871105 03:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871105 04:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871105 09:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871105 10:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871105 14:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871105 15:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871117 18:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871201 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871204 18:00,0.10
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871204 19:00,0.54
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871204 23:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871205 22:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871205 23:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871207 00:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871207 01:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871207 02:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871207 03:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871207 04:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871207 05:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 06:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 09:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 10:00,0.22
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 11:00,0.19
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 12:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 14:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 15:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 16:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 18:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871216 20:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 05:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 06:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 07:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 08:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 10:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 13:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 14:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 16:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 11:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 12:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 13:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 21:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 22:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880101 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 03:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 04:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 09:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 10:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 11:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 12:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 13:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 15:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 01:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 02:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 03:00,0.10
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 04:00,0.10
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 05:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 06:00,0.15
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 07:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 08:00,0.11
